endTime,artistName,trackName,msPlayed
2020-01-18 03:18,I Prevail,Gasoline,153613
2020-01-18 03:20,Joachim Pastor,Reykjavik,131766
2020-01-18 03:26,NTO,La clé des champs,334841
2020-01-18 03:27,Dr. Peacock,Trip to Ireland,80854
2020-01-18 03:34,NTO,La clé des champs,416000
2020-01-18 03:41,NTO,Alter Ego,444878
2020-01-18 03:49,Joachim Pastor,Reykjavik,456762
2020-01-18 03:56,Joachim Pastor,Millenium,421935
2020-01-18 03:59,Sasha,View 2 - Colin Benders Remix,204803
2020-01-18 04:04,Haftbefehl,069,261065
2020-01-18 04:04,Marteria,Chardonnay & Purple Haze,2101
2020-01-18 04:18,Haftbefehl,069,427127
2020-01-18 04:19,Marteria,Chardonnay & Purple Haze,1292
2020-01-18 04:22,Trettmann,Knöcheltief,6330
2020-01-18 04:22,Samra,Wieder Lila,188057
2020-01-18 04:22,KitschKrieg,"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",6940
2020-01-18 04:25,Samra,Cataleya,171681
2020-01-18 04:29,Haftbefehl,069,222767
2020-01-18 04:33,Marteria,Chardonnay & Purple Haze,237683
2020-01-18 04:41,Samra,Wieder Lila,188057
2020-01-18 04:43,Trettmann,Knöcheltief,163206
2020-01-18 04:44,Haftbefehl,069,22000
2020-01-18 04:46,Gzuz,CL500,151600
2020-01-18 04:50,Gzuz,Ebbe & Flut,212706
2020-01-18 04:51,Gzuz,Bringt es kein Geld,53537
2020-01-18 04:54,Gzuz,Alles echt,219160
2020-01-18 04:59,Gentleman,Superior,229706
2020-01-18 05:02,Eddie Vedder,No Ceiling,3770
2020-01-18 05:02,Jack Johnson,Upside Down,187688
2020-01-18 05:02,Patrice,Another One,6433
2020-01-18 05:05,Stick Figure,Smokin' Love (with Collie Buddz),214206
2020-01-18 05:09,Jack Johnson,Better Together,207680
2020-01-18 05:13,Patrice,Soulstorm,234840
2020-01-18 05:16,Patrice,Clouds,192400
2020-01-18 05:20,Gorillaz,Kids with Guns,225773
2020-01-18 05:23,Jack Johnson,Banana Pancakes,191906
2020-01-18 05:26,Jack Johnson,"Sitting, Waiting, Wishing",188306
2020-01-18 05:30,Milky Chance,Down By The River,241052
2020-01-18 05:35,Stick Figure,Choice Is Yours (with Slightly Stoopid),305493
2020-01-18 05:37,Eddie Vedder,Long Nights,151773
2020-01-18 05:38,Supersci,On The Grind (Original Version) - Instrumental,50621
2020-01-18 05:43,Haftbefehl,069,244213
2020-01-18 05:46,Samra,Cataleya,171681
2020-01-18 05:47,KitschKrieg,"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",98022
2020-01-18 15:39,Gemischtes Hack,#47 HACK HILFT,1700020
2020-01-19 02:22,Tobee,Blau wie das Meer - Bierkönig Version,193024
2020-01-19 02:26,Markus Becker,Bierkapitän,208250
2020-01-19 02:29,Die Draufgänger,Cordula Grün,190000
2020-01-19 02:33,Lorenz Büffel,Johnny Däpp (Ich will Mallorca zurück),223671
2020-01-19 02:36,DJ Düse,Voll wie Düse,198437
2020-01-19 02:38,Ina Colada,Luftmatratze,151956
2020-01-19 02:41,Tobee,3 Promille (Doch da geht noch was),180617
2020-01-19 02:45,Axel Fischer,Wir trinken gern (Wir versaufen unser Taschengeld),209000
2020-01-19 02:48,Buddy,Ich brauch keine Therapie,199518
2020-01-19 02:51,Marquess,Vayamos compañeros - Radio Edit,181253
2020-01-19 02:54,Madeline Willers,Trophäen,190588
2020-01-19 02:58,Mickie Krause,Finger weg von Sachen ohne Alkohol,200253
2020-01-19 03:02,Tobee,Helikopter 117 (Mach' den Hub Hub Hub),249433
2020-01-19 03:05,Tim Toupet,So ein schöner Tag (Fliegerlied) - Party Mix,208080
2020-01-19 03:06,Peter Wackel,Es Gibt Nur Ein Gas - Vollgas,71742
2020-01-19 03:09,Mia Julia,Oh Baby,191163
2020-01-19 03:13,Stefan Stürmer,Scheiss auf Schickimicki - Video Edit,198750
2020-01-19 03:16,Peter Wackel,Scheiss drauf! (Wiesn ist nur einmal im Jahr),213653
2020-01-19 03:20,Mickie Krause,Schatzi schenk mir ein Foto,204666
2020-01-19 03:23,Markus Becker,Piratenpolonaise,194000
2020-01-19 03:26,Marry,Vorglühn Nachglühn,174631
2020-01-19 03:29,Markus Becker,Bierkapitän,208250
2020-01-19 03:32,Isi Glück,Wir sind alle da,166294
2020-01-19 03:34,Gringo de Janeiro,Weißer Flamingo,146642
2020-01-19 18:50,Gemischtes Hack,#47 HACK HILFT,534778
2020-01-19 19:28,Gemischtes Hack,#48 HOW TO HACK,2293355
2020-01-19 19:32,Trettmann,Knöcheltief,1226
2020-01-19 19:32,Samra,Wieder Lila,2371
2020-01-19 19:32,Haftbefehl,069,222767
2020-01-19 19:32,Marteria,Chardonnay & Purple Haze,18806
2020-01-19 19:35,Samra,Cataleya,171681
2020-01-19 19:35,KitschKrieg,"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",8621
2020-01-19 20:07,Rammstein,OHNE DICH,271173
2020-01-19 20:07,Rammstein,"REISE, REISE",15065
2020-01-19 20:08,Rammstein,OHNE DICH,81078
2020-01-20 00:41,Gemischtes Hack,#48 HOW TO HACK,1217148
2020-01-20 07:54,Gemischtes Hack,#48 HOW TO HACK,503468
2020-01-20 16:20,Gemischtes Hack,#48 HOW TO HACK,654468
2020-01-20 16:36,Gemischtes Hack,#49 ES ZIEHT IM PARADIES,603271
2020-01-20 16:38,Keith Carnal,Prospect,14954
2020-01-20 16:38,Haftbefehl,069,118941
