,Position,Track Name,Artist,Streams,URL,country
10,11,Reloj,Rauw Alejandro,77624,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J,DO
11,12,BICHOTA,KAROL G,76645,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1,DO
12,13,Hecha Pa' Mi,Boza,67839,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx,DO
13,14,La Nota,Manuel Turizo,67404,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq,DO
14,15,Machu Picchu,Camilo,63711,https://open.spotify.com/track/6RV9pRLIQiXm3qTGeyQluf,DO
15,16,TE MUDASTE,Bad Bunny,61844,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY,DO
16,17,No Te Enamores - Remix,Milly,60768,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt,DO
17,18,LOCATION,KAROL G,57895,https://open.spotify.com/track/5Km4r87BoX2qqtoprYS1gh,DO
18,19,Mi Niña,Wisin,57273,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi,DO
19,20,Hawái,Maluma,53670,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp,DO
20,21,CÓMO SE SIENTE - Remix,Jhay Cortez,53071,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC,DO
21,22,Una Locura,Ozuna,52670,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU,DO
22,23,Caso Bugatti,El Alfa,51158,https://open.spotify.com/track/55hvx2D6b0xar5U66kl4MG,DO
23,24,La Tóxica,Farruko,50696,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv,DO
24,25,Baila Conmigo (with Rauw Alejandro),Selena Gomez,50390,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h,DO
25,26,Despeinada,Ozuna,48495,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC,DO
26,27,Antes,Anuel AA,47948,https://open.spotify.com/track/73O30uMI7n6DuzBmbtO7kC,DO
